name,price,description,sku,bottle_size,alcohol_vol,sugar_content,varietal,country,region,score,wine_type,group
Pelee Island Cabernet Franc VQA,13.45,medium rubyviolet colour aroma wild berry roasted red pepper dry medium bodied black cherry anise herb spice flavour crisp finish,433714,750,12.7,11.0,cabernet franc,Canada,Ontario,,red,LCBO
Villa Annaberta Amarone Della Valpolicella DOCG,38.95,cottini family strictly adheres requirement amarone production create elegant harmonious example deep ruby colour aroma black cherry strawberry leather featuring nose palate rich silky pronounced cherry black fruit character long warm finish,433961,750,15.0,11.0,amarone,Italy,Veneto,,red,LCBO
Quinta da Foz Reserva 2014,38.4,cherry red plex intense aroma dominated red fruit well black plum light floral tone dark chocolate note spice aging french oak barrel mouth fullbodied wine brings aroma fresh fruit seamless velvety well integrated tannin give wine elegance pleasant persistent finish,434059,750,14.0,,tinta roriz,Portugal,Douro,,red,LCBO
Vinha da Foz Tinto 2015,15.3,nose wine present fresh red fruit light touch spice maturation oak plexity persistence palate display silky well integrated plimented good level acidity keep finish nice long similar fruit profile carried mouth note crushed raspberry cranberry contribute lively youthful nature wine,434117,750,13.5,,touriga nacional,Portugal,Douro,,red,LCBO
Ménage à Trois Midnight Dark Red,17.95,deep ruby colour hint purple forward aroma cassis black cherry underlying toast spice oak soft appealing palate wine dry fullbodied generous fruit sweetness low tannin low acidity blackcurrant black cherry flavour persist medium finish,434597,750,13.5,11.0,blend,USA,California,,red,LCBO
Gato Negro 9 Lives Reserve Red Blend,11.95,opaque ruby wine loaded aroma cassis savoury herb black fruit palate dry mediumbodied soft tannin flavour savoury herb ripe black cherry vanilla mediumlong finish,434647,750,13.5,6.0,cabernet sauvignon/syrah,Chile,,,red,LCBO
Weinvert Haid Gruner Veltliner DAC 2017,25.4,light strawyellow scent freshly picked apple citrus peach palate full e alive ripe apple peach fresh tropical fruit mineral structure whole mouth spice pepper finish,591643,750,12.5,,gruner veltliner,Austria,,,white,LCBO
Weinvert Class Gruner Veltliner DAC 2017,23.25,light brightyellow smell green apple citrus fruit lively palate citrus grapefruit note spicy finish,591676,750,12.5,,gruner veltliner,Austria,,,white,LCBO
Argento Seleccion Chardonnay,11.1,brilliant yellowgold colour melon pear ripe apple vanilla aroma dry tropical fruit flavour toasty oak note excellent intensity length,591701,750,13.5,5.0,chardonnay,Argentina,,,white,LCBO
Pelee Island Late Harvest Vidal VQA,13.95,medium straw yellow colour aroma sweet peach canned pear citrus note honey medium sweet balanced acidity peachapple flavour,594184,750,11.7,38.0,vidal,Canada,Ontario,,white,LCBO
Peninsula Ridge Inox Chardonnay VQA,15.95,inox french term stainless steel unoaked vqa wine celebrates character chardonnay without overlay oaky note pale medium yellow straw colour delicate apple ripe asian pear lemon aroma extradry wellbalanced acid structure refreshing citrus flavour,594200,750,12.5,2.0,chardonnay,Canada,Ontario,,white,LCBO
Pelee Island Monarch Vidal VQA,18.95,pale straw yellow light floral aroma fresh citrus flavour balanced acidity,594275,1500,12.5,16.0,vidal,Canada,Ontario,,white,LCBO
Mercouri Kallisto 2017,16.95,asyrtiko robola blend bright whitegreen colour yellow sheen aroma freshlygrated lemon generous taste scent pear aftertaste,597368,750,13.5,,robola,Greece,,,white,LCBO
Alain Corcia Corton Grand Cru 2008,207.8,plex impressively mouthfilling way sensual structured generous aromatic expression fruit note blueberry gooseberry kirsch cherry flower violet evolving towards underbrush animal leather fur pepper liquorice palate wine wellbuilt powerful muscular chewy e fore,597673,750,13.5,,pinot noir,France,,,white,LCBO
Chao Rijo LX White 2016,19.0,fresh wine blend traditional white grape flourish claylimestone soil far portugal windswept sometimes foggy atlantic coast offer bouquet citrus tropical fruit unique minerality,600998,750,12.0,,malvasia fina,Portugal,,,white,LCBO
Auramaris DOC Maremma Vermentino 2017,24.2,bright fresh white coastal region tuscany feature fragrant fruity aroma note apple pear citrus mineral character hint seaside salt try seafood fish pasta vegetarian dish,604396,750,13.5,,vermentino,Italy,Tuscany,,white,LCBO
Malvasia Aromatica 2017,25.0,bright yellow colour aroma jasmine apple peach flavour citrus hint herb medium bodied panied balanced acidity long pleasant aftertaste,606052,750,13.0,,malvasia,Greece,Crete,,white,LCBO
San Pietro Vino Bianco da Uve Passite,50.75,produced veneto region flavourful fullbodied white reveals ample character supple satisfying shine note honey raisin jam tropical fruit sip solo pair white meat dish,609213,500,14.0,,albarossa,Italy,Piedmont,,white,LCBO
Novas Gran Reserva Carménère Cab Sauvignon Organic,16.0,deep ruby colour bursting aroma dark berry cherry green pepper spice extradry fullbodied predominant flavour black berry spice herb dusty tannin warm lasting finish,434662,750,14.5,4.0,red,Chile,Colchagua Valley,,red,LCBO
Piccini Brunello Di Montalcino DOCG,42.95,rich elegant tuscan beauty ruby red plex note anise black cherry cassis dry balanced fullbodied palate tannin smooth finish long expressive replay dried flower spice,434696,750,14.0,2.0,sangiovese,Italy,Tuscany,,red,LCBO
Enclos Des Anges Semper Fidelis AOP Corse Calvi 2015,35.4,dark fruity nose mixing blueberry plum pleasant floral aroma spicy corsican maquis aroma medium bodied wine crisp acidity fine tanins wine fruity wild maquis final good length year old vine handpicked grape blend niellucciu sciccarellu low yield hlha aged month lee concrete vat,434893,750,14.0,,red,France,Corsica,,red,LCBO
The Little Prince 2015,20.1,two classic cretan varietal blend together fresh unoaked red wine kotsifali give wine backbone structure mandilari add ripeness embellishes ruby red colour look cherry cranberry flavour pair lamb kebab bbq chicken,435684,750,13.5,,kotsifali/mandilari,Greece,Crete,,red,LCBO
Domaine Mercouri 2015,19.35,ten month french oak give blend italian refosco greek mavrodaphne heady note faded rose petal wild herb dried red fruit liquorice blend reveals earthiness hint coffee chocolate mixed vanilla cinnamon mediumbodied wellstructured wine,436237,750,13.0,,refosco/mavrodaphne,Greece,,,red,LCBO
Mercouri Antares 2015,20.15,blending rare augoustiatis grape mourvedre result wine deep velvety red colour generous bouquet leather pepper harmony cinnamon touch vanilla oak aging coconut leather aroma amid fine tannin brisk acidity long finish,436252,750,13.5,,red,Greece,,,red,LCBO
Casillero del Diablo Reserva Devil's Collection Red,16.0,devil e premium line wine red brilliant deep ruby colour aroma black ripe fruit blueberry vanilla spice cocoa medium body dry clean fruit character reminiscent blackberry,436956,750,13.5,6.0,red,Chile,Rapel Valley,,red,LCBO
Quinta Sardonia Sardon 2015,21.85,cherry red colour violet trim nose intense note fresh red fruit blackberry cherry appear light balsamic note spice cinnamon pepper nutsthe palate tasty aromatic ripe smooth balanced aroma red fruit integrated woody aroma long finish pair grilled red meat aged cheese chicken stew beef white roasted meat,436989,750,14.5,,tinta fina,Spain,,,red,LCBO
Cinco Sentidos Cabernet Sauvignon 2015,16.05,thread tobacco run intense red cabernet sauvignon aroma black cherry blackberry raspberry dominate fruit expressed palate wine wellstructured tannin touch oak aging make great choice alongside well marbled steak pile saucy sauteed mushroom,437227,750,13.9,,cabernet sauvignon,Argentina,,,red,LCBO
56 Hundred Cabernet Sauvignon Shiraz,11.95,hundred reference price paid nederburg farm since winery built reputation quality wine offering fullflavoured experience note black currant plum charred oak medium weight palate finish ripe raspberry note,437442,750,14.0,4.0,cabernet sauvignon/syrah,South Africa,Western Cape,,red,LCBO
Veliko Rdece 2008,74.8,na,437771,750,12.5,,merlot,Slovenia,,,red,LCBO
Raven Conspiracy Deep Dark Red VQA,16.95,deep purple colour aromatic spicy raspberry blueberry note medium dry balanced acidity soft tannin,438069,750,12.5,14.0,red,Canada,Ontario,,red,LCBO
Domaine Naturaliste Floris Chardonnay 2015,33.95,barrel ferment character evident grapefruit white peach drive extreme length palate aftertaste wine develop slowly surely minimum year bottle drink score james halliday au aug,609339,750,12.9,4.0,chardonnay,Australia,Western Australia,95.0,white,VINTAGES
White Cliff Sauvignon Blanc,14.95,clear bright yellow light floral gooseberry grass citrus aroma extra dry medium body mouth filling fruit flavour crisp finish,610972,750,12.5,5.0,sauvignon blanc,New Zealand,,,white,LCBO
Wolf Blass Yellow Label Sauvignon Blanc,16.0,medium straw colour aroma pear melon hay aroma dry light medium bodied well balanced fresh cut grass lime herb flavour,611475,750,11.5,5.0,sauvignon blanc,Australia,,,white,LCBO
Domaine Blanc 2017,22.85,subtle nose yellow flower sweet spice sooth mineraltinged palate,613736,750,13.0,,grenache blanc,France,Rhône,,white,LCBO
Prospect Chardonnay VQA,13.95,originally bc corrie brought winemaking passion prospect winery wine pale gold colour aroma flavour apple pear vanilla hint oak fullbodied rich balanced acidity perfect pork tenderloin panied roasted potato grilled zucchini,614362,750,13.2,6.0,chardonnay,Canada,Ontario,,white,LCBO
Primus Zitsa 2017,14.55,primus zitsa vivid soft goldengreen colour fine aroma apple pear peach young delicate palate acidity brings freshness fruit wine panies white fish shellfish white meat salad ideal also aperitif,616267,750,12.0,,debina,Greece,,,white,LCBO
Ktima Pavlidis Thema White 2017,19.6,light yellowgreen plex nose beginning intense aroma exotic fruit citron continuing pounding hint white pepper minerality well balanced richly flavoured mouth pleasing freshness clean fruity aftertaste finishing characteristic crispness assyrtiko offer strong earthy character wine winery,616366,750,13.5,,assyrtiko,Greece,,,white,LCBO
Pelee Island Lola Gewürztraminer VQA,13.95,lola first arrived rose heart try fragrant gewurztraminer full bloom aroma jasmine lychee apricot melon mediumbodied offdry flavour match nose wrapup seamlessly long flavourful finish,618231,750,12.0,28.0,gewurztraminer,Canada,Ontario,,white,LCBO
Angels Gate Sussreserve Riesling VQA,14.95,pale lemon colour aroma lemonlime grapefruit white peach floral mineral note offdry medium bodied crisp flavour lemongrapefruit peach stonefruit mineral floral tone,620104,750,11.5,24.0,riesling,Canada,Ontario,,white,LCBO
Argento Seleccion Pinot Grigio,11.05,pale straw colour peach tropical fruit aroma extra dry palate medium body crisp flavour,620492,750,13.5,4.0,pinot grigio,Argentina,,,white,LCBO
Collavini Pinot Grigio,26.0,pale straw colour citrus light mineral melon aroma herbal note lightbodied citrus green apple flavour good acidity,620617,1500,12.5,3.0,pinot grigio,Italy,Veneto,,white,LCBO
Creekside Sauvignon Blanc VQA,15.95,pale lemon colour intense aroma tropical passion fruit gooseberry tangy guava flavour zesty grapefruit finish,620724,750,12.7,5.0,sauvignon blanc,Canada,Ontario,,white,LCBO
Filinona Elero DOC 2012,28.2,palate wine confirms aroma present nose tannin firm yet well integrated good acidity finish medium length,438340,750,13.5,,nero d'avola,Italy,,,red,LCBO
Maison Denuziere Hermitage 2014,98.75,jeb dunnuck rp made tiny quantity bottle inkycolored hermitage classic straight firm style yet beautifully concentrated note graphite powdered rock licorice load black blue fruit flow mediumbodied structured hermitage need shortterm cellaring drink well decade,438704,750,13.0,,shiraz/syrah,France,Rhône,,red,LCBO
Konzelmann Merlot VQA,14.95,ruby colour cherry cassis vanilla aroma matching flavour balanced mediumlight body,439281,750,12.8,8.0,merlot,Canada,Ontario,,red,LCBO
Primus Carmenère 2017,19.95,time publication tim atkins tasting note yet available score tim atkin mw,439356,750,14.5,3.0,carmenere,Chile,Colchagua Valley,92.0,red,VINTAGES
Quadrus Red 2013,22.95,half quadrus touriga nacional third tinta roriz rest souzao brambly blend based ropey tangy red fruit way let say lodi zinfandel warmth grip belies warmth hit perfect stride ing summer outdoor fun session bbq would well include unit energetic sits sweet spot many way least price quality window opportunity drink score michael godel june,440305,750,13.5,4.0,touriga nacional/tinta roriz,Portugal,Douro,90.0,red,VINTAGES
Ladron De Lunas Roble 2015,14.8,intense aroma strawberry currant plum splash e alive spanish red valencia region mediumbodied wine good acidity balanced finish work well pork tomatobased pasta,440338,750,13.0,,red - medium bodied,Spain,Valencia,,red,LCBO
Stone Castle Shiraz 2013,19.1,na,440353,750,13.5,,shiraz/syrah,Kosovo,,,red,LCBO
Stone Castle Merlot Selection 2013,26.4,na,440361,750,13.5,,merlot,Kosovo,,,red,LCBO
Honoro Vera Garnacha Calatayud DO,13.75,deep ruby colour fragrant red offer aroma blackberry plum mulberry tea palate dry mediumbodied balanced acid tannin look flavour ripe strawberry blueberry earth savoury herb followed long spicy finish,440867,750,14.5,5.0,garnacha,Spain,Calatayud,,red,LCBO
Pasqua Sangiovese Puglia,14.55,aroma cassis hint tar fresh cherry light delicate blueberry fruit,441428,1500,12.0,10.0,sangiovese,Italy,Puglia,,red,LCBO
Pelee Pebbles Red,15.95,clear medium ruby colour aroma strawberry cherry ripe plum underlying floral smoky note dry mediumbodied low acidity soft tannin subtle flavour red berry fruit light spicy note mediumlength finish,441519,1500,12.5,14.0,red,Canada,,,red,LCBO
Fantini Farnese Numero Uno Primitivo IGP,12.95,primitivo long history date back time phoenician lot mon wellknown grape variety called zinfandel fantini version intense ruby colour aroma flavour dark berry cherry prune full soft harmoniously tannic finish,442491,750,13.5,9.0,primitivo,Italy,Puglia,,red,LCBO
Masi Masianco Pinot Grigio & Verduzzo,16.95,made using blend freshlyharvested pinot grigio semidried verduzzo grape enjoy aroma flavour ripe pear citrus apricot mineral nutty honeyed note wine light crisp clean finish serve hors doeuvres fish white meat,620773,750,13.0,5.0,blend,Italy,Veneto,,white,LCBO
Jackson-Triggs Pinot Grigio,11.45,awardwinning e light lively pinot grigio offered range size occasion pouring pale lemon colour look aroma flavour apple citrus mainly lemon bright acidity make crisp extradry palate clean finish,621110,750,12.1,6.0,pinot grigio,Canada,Ontario,,white,LCBO
Folonari Pinot Grigio Delle Venezie DOC,25.95,made stainless steel tank preserve accentuate fresh character pale lemon colour aroma citrus clove light floral note juicy palate fresh fruit flavour balanced bright acidity hint white pepper lead clean finish,621821,1500,12.0,4.0,pinot grigio,Italy,Veneto,,white,LCBO
Thalassitis Oak Fermented 2016,40.15,na,621937,750,13.5,,assyrtiko,Greece,Santorini,,white,LCBO
Malagouzia Organic White PGI 2017,16.25,made organic malagouzia wine capture grape dynamic apricot grapefruit exotic fruit aroma there touch green bell pepper palate along peach hazelnut flavour excellent match shellfish lean white meat pasta mediterranean cuisine,621994,750,13.5,,malagousia,Greece,,,white,LCBO
Bandit Pinot Grigio,14.95,light straw color aroma apple pear light palate crisp mineral peach stone finish,622019,1000,13.0,15.0,pinot grigio,USA,,,white,LCBO
Manincor La Manina 2017,36.7,pinot blanc sauvignon blanc chardonnay partial wild yeast ferment bright yellow greenish reflex ripe fruit flavour quince lychee pink grapefruit fresh herbal aroma sage mint enjoy end delicious aperitif make wonderful partner roasted fillet salmon appetizer white meat certified biodynamic,623297,750,13.0,,sauvignon blanc/chardonnay,Italy,,,white,LCBO
Manincor Tannenberg 2016,60.1,made sauvignon blanc grape sandy soil white brim flavour mango papaya passion fruit followed long flinty finish match shellfish grilled salmon roast chicken,623321,750,14.0,,sauvignon blanc,Italy,,,white,LCBO
Kuntz Auslese 2011,85.55,auslese selected harvest grape manually harvested separated colour ripeness create perfect auslese darkgolden almost violet grape selected auslese still juicy taste like fully ripe aromatic fruit grape higher sugar reading making perfect auslese wine big intense incredible balance straddle edge plexity ripe fruit auslese beautifully focused wellbalanced acidity stunning texture sweetness balanced plex mineral backbone,625870,750,13.0,,riesling,Germany,,,white,LCBO
Road Vineyard Chardonnay 2016,38.95,crowdpleasing dry chardonnay juicy note baked pear nectarine vanilla biscuit rolled spicy fragrant nose long creme brulee e e surprise try cheese tray,627470,750,13.0,,chardonnay,New Zealand,Central Otago,,white,LCBO
Road Vineyard Sauvignon Blanc 2017,29.05,aroma flavour tropical fruit stone fruit gooseberry elevate dry sauvignon blanc creamy texture balanced acidity crisp finish make perfect panion pair shellfish vegetarian dish,627504,750,13.0,,sauvignon blanc,New Zealand,,,white,LCBO
Yellow Tail Chardonnay,12.0,australia largest familyowned pany wine thats easy drink easy understand expect aroma peach melon hint vanilla palate dry mediumbodied note ripe apple pear tropical fruit leading crisp finish serve roast chicken creamy pasta,627802,750,13.0,12.0,chardonnay,Australia,,,white,LCBO
Château de Puligny Montrachet Beaune Premier Cru Les Perrieres 2014,101.55,na,443167,750,12.5,,pinot noir,France,Burgundy,,red,LCBO
Roux Père & Fils Les Valozières Aloxe-Corton 1er Cru 2015,87.0,ripe redcherry aroma sweet cherry fruit leap forward palate settle back play soft liquorice beautiful indefinable autumnleaf spiciness fill mouth without heaviness tactile yet smoothsinewed tannin drink score tamlyn currin nov,443564,750,13.5,4.0,pinot noir,France,Burgundy,,red,VINTAGES
Creekside Cabernet Franc 2016,25.0,impressive characterful cab franc plex note ripe cherry cassis tobacco spice savoury herb red pepper jelly sandalwood there lovely black pepper spice close well try barbecued rib grilled sausage roasted red pepper vintage panel april,444034,750,13.5,4.0,cabernet franc,Canada,Ontario,,red,VINTAGES
Joel Gott 815 Cabernet Sauvignon,24.95,grape crosscalifornia cabernet sourced prime site place napa lake county monterey lodi paso roble santa ynez sonoma ripe velvety juicy dark fruit cassis alluring chocolate note brilliant option lamb burger slowcooked red meat charcuterie platter,444059,750,13.9,3.0,cabernet sauvignon,USA,California,,red,VINTAGES
Big House Cardinal Zin Zinfandel,4.25,convenient format taking cottage poolside camping medium ruby colour smoky plum black cherry note dried sweet herb spicy oak note ripe fruit core berry fruit dried herb vanilla flavour mediumbodied fruity,444760,250,13.5,12.0,zinfandel,USA,California,,red,LCBO
Fteri Agiorgitiko PGI 2015,17.0,beautiful example contemporary agiorgitiko dark red colour wine show intense fruity nose character raspberry wild cherry spice aroma part plex bouquet wine rich mouthfeel enhanced velvety tannin serve roast lamb shoulder smoked ham paella,444884,750,13.5,,agiorgitiko,Greece,Agioritiko,,red,LCBO
São Miguel Escolha dos Enologos 2016,21.95,selection winemaking team wine reflects region ripe fruit structure wine black fruit young firm tannin ready age drink potentially fruity rich wine score roger voss wine enthusiast june,445122,750,14.0,5.0,touriga nacional,Portugal,Alentejo,90.0,red,VINTAGES
Antica Napa Pinot Noir 2014,43.75,wine display revitalizing tone grab taste bud clean bracing fashion build something delectably lush smooth dense red berry flavour feature garlanded bouquet floral tone lasting impression great depth length freshly punctuated finish,445543,750,14.5,,pinot noir,USA,California,,red,LCBO
Antica Townsend Cabernet Sauvignon 2013,127.95,powerfully crafted yet lean fruitfocused structure cabernet exhibit substantial acidity tannin flavour mediumbodied draw beautifully integrated blueberry spice graphite flavour tinge mint lavender round experience finish clean direct persuasive,445568,750,14.5,,cabernet sauvignon,USA,California,,red,LCBO
Citra Montepulciano D'Abruzzo DOC,8.85,medium ruby purple colour cherry blackberry fruit pepper nose palate hint leather chocolate plum spice medium bodied firm dry finish,446633,750,13.0,6.0,montepulciano,Italy,Abruzzo,,red,LCBO
Santa Carolina Cabernet Merlot,15.0,garnet red colour aroma cassis black raspberry mediumfull bodied ripe fruit flavour light cedar spice finish,447466,1500,13.0,6.0,cabernet/merlot,Chile,,,red,LCBO
Twenty Twelve Organic Red 2016,28.25,named first year bottled velvety wine get cherryred violet tone blend five grape organic vegan pepper clove mediterranean herbal note stand well olive tapenade crostini steak chimichurri,447580,750,12.5,,red,Spain,Mallorca,,red,LCBO
Open Pinot Grigio VQA,12.95,open wine known making crowdpleasing wine pinot grigio aroma flavour lemon citrus light pear melon light crisp palate crisp clean acidity dry finish wine perfect seafood salad roasted chicken starter,628404,750,12.5,10.0,pinot grigio,Canada,Ontario,,white,LCBO
Trapiche Medalla Chardonnay 2016,19.95,medalla chardonnay produced grape finca la piedras valle de uco contains viognier matured nine month contact lee oak foudres barriques varietal characteristic neatly integrated oak good freshness tasty pleasant drink date score luis gutierrez june,629436,750,14.0,2.0,chardonnay,Argentina,Mendoza,90.0,white,VINTAGES
Biferno del Molise DOC,23.15,crisp white molise littleknown wine region italy adriatic coast worth discovering bursting note pear exotic fruit honey fruity flavour acidity clean finish make match asian spicy dish,629849,750,13.0,,white - fruity,Italy,Molise,,white,LCBO
Schiefer Steillage Feinherb Riesling 2017,14.75,steillage translates steep slope refers precipitous grade upon vineyard mosel planted stand vertigoinducing angle deg riesling offdry impressive peach lime tone plenty stony mineral mosel also famed wine wellsuited whiteflesh fish spicy asian food vintage panel april,630061,750,10.4,27.0,riesling,Germany,Mosel,,white,VINTAGES
Te Awa Left Field Pinot Gris 2017,19.95,maoiri name te awa te atua mean river god refers subterranean stream run area pinot gris refreshing spicy ripe apple fruit pear touch honeysuckle acidity provides superb balance try roast pork chicken creamy sauce vintage panel may,630525,750,11.9,7.0,pinot gris,New Zealand,Hawke's Bay,,white,VINTAGES
La Guardiense Janare del Sannio Greco 2017,18.95,though name greco might suggest greek origin dna analysis shown direct relationship greek variety matter came lateripening greco long synonymous campania one offer rich tropical fruit note flower peach mineral jasmine bright acidity marvellously integrated try catfish calamari vintage panel june,631085,750,13.5,5.0,greco bianco,Italy,Campania,,white,VINTAGES
Quinta de Cidrô Boal 2016,19.95,boal quinta de cidro boal portuguese semillon elsewhere partly aged new french oak rest stainless steel pretty impressive concentrated intense finish nice acidity absorbed midpalate add flavor profile pear touch green melon fill mouth beautifully quite gripping perhaps impressive last ive seen close one many interesting ing rcv day nicely priced good chance aging well take stage check every drink date score mark squire aug,631481,750,12.9,2.0,semillon,Portugal,Douro,91.0,white,VINTAGES
3 Monos Blanco de Itata 2015,25.1,muscat alexandria torontel sourced forgotten fringe itata valley dryfarmed headtrained vine paying heed earliest origin chilean viticulture fresh plexity citrus zest pith bracing acidity balanced utterly different,631985,750,13.5,,white,Chile,,,white,LCBO
Fowles Farm To Table Chardonnay 2017,13.75,supple mildly sweet wine clean crisp showing minimal influence oak light gooseberry kumquat flavor give airy feela chardonnay chill aperitif score oct,632042,750,10.9,8.0,chardonnay,Australia,Victoria,88.0,white,VINTAGES
Forest Hill Highbury Fields Chardonnay 2016,18.95,block dry grown highfields vineyard mainly gin gin clone dijon clone crushed pressed straight french barriques stainless steel wild yeast fermentation cool temperature partial mlf left gl acidity tightly structured unsweetened citrus flavour grapefruit fore need time drink score james halliday au aug,632075,750,13.2,2.0,chardonnay,Australia,Western Australia,91.0,white,VINTAGES
Era Sauvignon Blanc Organic Terre Siciliane IGT,10.9,decade botter family crafting quality wine suit many palate warm climate sicily lively sauvignon blanc made organically grown grape pale lemon colour aroma flavour lemon apple herb mediumbodied dry wellsuited seafood salad,632307,750,12.5,7.0,sauvignon blanc,Italy,Sicily,,white,LCBO
Siegel Special Reserve Sauvignon Blanc 2018,17.95,bouquet evokes cold river stone hint nettle cool climate sauvignon blanc richly textured minerallike mouth feel subtle herbal citrus passion fruit note finish excellent persistence brightness score winkler aug,632323,750,13.5,3.0,sauvignon blanc,Chile,Leyda Valley,91.0,white,VINTAGES
Colle Uncinano Cruor Nobile 2010,31.1,blend merlot sagrantino grape showcase remarkable depth intense flavour ripe red fruit blackcurrant coffee cocoa plus spicy peaty undercurrent open bottle youre tucking venison lamb aged hard cheese charcuterie,447838,750,14.5,,red,Italy,Umbria,,red,LCBO
Kappa P62 2010,20.8,deep purple wine plum dried cherry olive flavour derived xynomavro grape make half blend fullbodied spiciness result syrah grape nicely integrated robust elegant wine try roasted grilled meat mature hard cheese pasta red sauce,449065,750,13.0,,xinomavro,Greece,Macedonia,,red,LCBO
Le Mourre De I'Isle Red 2016,23.05,intense red colour deep purple highlight mark grenache syrah blend elegant nose soft tannin round beautiful wine,451491,750,14.0,,syrah/grenache/mourvedre,France,Rhône,,red,LCBO
Le Voyage d'Ulysse Red 2012,32.5,intense ruby red colour deep purple highlight characterize fresh red gorgeous nose red fruit aroma pair nicely beef lamb aged cheese,451517,750,14.0,,syrah,France,,,red,LCBO
David Les Masques Red 2013,76.8,na,451525,750,14.0,,grenache/syrah/mourvedre,France,,,red,LCBO
Lucky Goat Reserva Red Blend 2016,10.95,floral character reminds violet black ripe fruit touch cinnamon tobacco aroma note resonate mouth added dimension blackberry blueberry toasty oak long finish soft note smoke dark chocolate,451806,750,13.5,,merlot/malbec,Chile,,,red,LCBO
Boutinot Les Six Cairanne 2016,31.3,layer fruit interwoven underpinned plush texture supple tannin propel scent flavour peppery red black fruit vibrant expressive finish,452093,750,14.5,,syrah/mouvedre/grenache,France,Rhône,,red,LCBO
Alpasión Malbec 2015,23.85,pure rich fruity wine express goodness soil climate uco valley aroma present red dark fruit hint minerality keep fresh plus month aging french oak barrel add plexity hue vanilla smoke silky mouth feel concentrated bine ripe fruitiness round supple tannin,453117,750,15.0,,malbec,Argentina,,,red,LCBO
Te Mania Nelson Syrah 2016,31.5,peppery earthy nose engaging coolclimate syrah follows dark berry spicy note supported fine tannin pop open game meat dish like barbecued rib beef stew also suitable vegan diet,453414,750,14.0,,shiraz/syrah,New Zealand,Nelson,,red,LCBO
Casas Del Toqui Cabernet Sauvignon Reserva Especial 2015,10.95,plex nose hint tobacco spice black fruit soft hint vanilla balanced firm silky tannin good body long persistent finish,454438,750,13.5,,cabernet sauvignon,Chile,,,red,LCBO
Spinelli Montepulciano D'Abruzzo DOC,8.75,produced sangiovese grape heart province chieti abruzzo ruby red wine bright lively aroma red fruit hint spice soft pleasing palate balanced flavour good length finish,454629,750,13.0,6.0,montepulciano,Italy,Abruzzo,,red,LCBO
Spier Signature Merlot,13.1,clear medium ruby light bricking around rim nose offer aroma cherry cedar earth mulled red berry palate dry low acid medium tannin medium body look flavour cherry plum dusty rose blueberry followed medium length finish,454827,750,14.0,5.0,merlot,South Africa,Western Cape,,red,LCBO
La Joya Gran Reserva Sauvignon Blanc 2018,14.25,la joya mean jewel appropriate moniker estategrown sauvignon blanc lime grapefruit crunchy pear fruit lifted racy acidity mineral good one panfried fish pistachiopesto green bean vintage panel july,632331,750,13.0,2.0,sauvignon blanc,Chile,Colchagua Valley,,white,VINTAGES
Matervitae Falanghina IGT Puglia,11.9,torrevento estate northern puglia region italy focus cultivating best local grape variety make wine falanghinas aroma flavour reflect note pear apple melon citrus finish fresh lively wonderful pairing pasta cream sauce seafood appetizer,632471,750,12.0,5.0,falanghina,Italy,Puglia,,white,LCBO
Presqu'ile Winery Chardonnay 2014,27.25,light clean aroma asian pear pear blossom apple flesh white flower show nose bottling property far western edge maritime appellation bright acidity present flavor lime green apple anjou pear flesh touch kiwi savory seasalt touch score matt kettman wine enthusiast nov,632851,750,14.3,3.0,chardonnay,USA,California,93.0,white,VINTAGES
Joseph Cattin Lieu-dit Elsbourg Riesling 2014,19.95,na,632885,750,12.9,5.0,riesling,France,Alsace,,white,VINTAGES
Campodora Albana Secco Romagna DOCG,14.75,grown forli hill italy emiliaromagna region albana grape variety present aroma peach apricot citrus dry light body flavour quince peach citrus balanced acidity freshness make ideal pairing seafood risotto white meat,632893,750,12.5,6.0,albana,Italy,Emilia-Romagna,,white,LCBO
Casa Boal Reserva White 2016,23.0,citrine colour elegant slightly fullbodied good natural acidity firm plex finish,633221,750,13.0,,white,Portugal,,,white,LCBO
Woodbridge By Robert Mondavi Chardonnay,24.55,colour bright pale lemon aroma ripe apple pear citrus joined hint spicy vanilla oak wine dry mediumbodied lively acidity framing note ripe apple citrus toast vanilla medium length finish sweet apple toasted oak note balanced lemony acidity,633305,1500,13.5,8.0,chardonnay,USA,California,,white,LCBO
Longshot Pinot Grigio,16.0,light crisp pinot grigio longshot wine made winemaker beth liston expect fresh aroma flavour melon citrus white blossom note almond green apple lead refreshingly crisp finish serve grilled white fish bed rice sauteed vegetable,633354,750,13.0,4.0,pinot grigio,USA,California,,white,LCBO
Cos Pithos Bianco 2016,95.15,sicily citrusdriven mediumbodied sipper dried berry apricot note subtle tang orange zest lingers long elegant finish pair fish risotto roast chicken,634179,1500,11.5,,grecanico,Italy,,,white,LCBO
Rapitala Grillo Organic Doc Sicily,13.95,grillo variety indigenous sicily grown higher cooler elevation experience herbal floral citrus aroma followed palate flavour white peach ripe pear citrus light body good balance wine would pair well pasta seafood grilled vegetable,634345,750,13.0,3.0,grillo,Italy,Sicily,,white,LCBO
Maryhill Winery Chardonnay 2016,19.95,na,635045,750,14.0,2.0,chardonnay,USA,Washington,,white,VINTAGES
